game_index,seed,score_0,score_1,score_2,score_3,winner,num_legs,num_turns,agent_seat_0,agent_seat_1,agent_seat_2,agent_seat_3,focal_seat
399,399,21,14,17,12,0,4,62,HeuristicAgent,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,3
400,400,32,21,27,31,0,6,83,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
401,401,32,23,20,23,0,4,61,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,1
402,402,17,14,36,20,2,4,62,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,2
403,403,20,26,17,29,3,4,67,HeuristicAgent,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,3
404,404,43,28,25,27,0,5,69,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
405,405,17,39,16,14,1,4,61,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,1
406,406,21,19,44,23,2,5,70,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,2
407,407,18,21,25,22,2,4,51,HeuristicAgent,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,3
408,408,40,20,19,17,0,4,64,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
409,409,24,38,21,22,1,4,68,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,1
410,410,18,28,43,22,2,5,72,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,2
411,411,13,17,11,32,3,4,61,HeuristicAgent,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,3
412,412,25,14,14,15,0,3,48,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
413,413,28,41,35,27,1,6,85,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,1
414,414,26,19,32,25,2,4,65,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,2
415,415,20,17,29,47,3,5,67,HeuristicAgent,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,3
416,416,40,28,18,20,0,4,50,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
