game_index,seed,score_0,score_1,winner,num_legs,num_turns,agent_seat_0,agent_seat_1,first_player
434,434,34,21,0,4,61,HeuristicAgent,RandomAgent,0
435,435,25,78,1,6,106,RandomAgent,HeuristicAgent,1
436,436,53,17,0,4,64,HeuristicAgent,RandomAgent,0
437,437,20,68,1,5,85,RandomAgent,HeuristicAgent,1
438,438,49,18,0,4,75,HeuristicAgent,RandomAgent,0
439,439,11,86,1,6,106,RandomAgent,HeuristicAgent,1
440,440,63,12,0,5,76,HeuristicAgent,RandomAgent,0
441,441,22,56,1,5,94,RandomAgent,HeuristicAgent,1
442,442,51,16,0,6,109,HeuristicAgent,RandomAgent,0
443,443,33,61,1,6,104,RandomAgent,HeuristicAgent,1
444,444,65,2,0,4,76,HeuristicAgent,RandomAgent,0
445,445,8,57,1,5,71,RandomAgent,HeuristicAgent,1
446,446,43,25,0,4,58,HeuristicAgent,RandomAgent,0
447,447,18,52,1,4,71,RandomAgent,HeuristicAgent,1
448,448,58,19,0,5,84,HeuristicAgent,RandomAgent,0
449,449,30,42,1,5,95,RandomAgent,HeuristicAgent,1
450,450,57,5,0,5,80,HeuristicAgent,RandomAgent,0
451,451,50,36,0,5,76,RandomAgent,HeuristicAgent,1
452,452,52,34,0,5,89,HeuristicAgent,RandomAgent,0
